Serial No,ID,Timestamp,Mobile Number,Gender,Urban or Rural,Upcoming Election Party,Party 2018,Satisfaction with CM,Satisfaction with MLA,Occupation,Caste,Agent ID,Remarks (if any),Action

1,25,Thu Oct 12 2023 12:21:09 GMT+0000 (Coordinated Universal Time),8249570678,Male,Urban,test,test,Yes,Yes,test,test,2123,test,Delete
2,26,Thu Oct 12 2023 12:46:12 GMT+0000 (Coordinated Universal Time),8699352677,Male,Urban,BJP,INC,No,No,IT Worker,Brahmin,n/a,ok,Delete
3,27,Sat Oct 14 2023 12:07:08 GMT+0000 (Coordinated Universal Time),9464764194,Male,Rural,e3,3t3,No,No,4tg3,erg,3,Test,Delete
4,28,Tue Oct 17 2023 11:27:22 GMT+0000 (Coordinated Universal Time),dwdw,Male,Urban,dwd,dwd,Yes,Yes,dwd,dwdw,dwdw,dwd,Delete
5,29,Tue Oct 17 2023 11:30:25 GMT+0000 (Coordinated Universal Time),8249570678,Female,Urban,sdsdsdsd,dsdsdsd,Yes,Yes,dsds,test,dd,ddd,Delete
6,30,Wed Oct 18 2023 06:48:46 GMT+0000 (Coordinated Universal Time),ee,Male,Urban,Phone Disconnected,Phone Disconnected,Phone Disconnected,Phone Disconnected,Others,ee,eee,eee,Delete
7,33,Wed Oct 18 2023 07:00:26 GMT+0000 (Coordinated Universal Time),8249570678,Male,Urban,Phone Disconnected,Phone Disconnected,Phone Disconnected,Phone Disconnected,Others,test,test,test,Delete
8,36,Wed Oct 18 2023 07:09:24 GMT+0000 (Coordinated Universal Time),sf,Male,Urban,Phone Disconnected,Phone Disconnected,Phone Disconnected,Phone Disconnected,dsdss,fsfs,fsfs,sfs,Delete
9,39,Wed Oct 18 2023 07:11:32 GMT+0000 (Coordinated Universal Time),8249570678,Male,Urban,Phone Disconnected,Phone Disconnected,Phone Disconnected,Phone Disconnected,Student,efe,fe,efe,Delete
